,0,1
0,과자류,과자
1,시리얼류,과자
2,"과자,소스류",과자
3,과자(스낵과자류),과자
4,과자(비스킷류),과자
5,과자(기타),과자
6,과자(유탕처리제품),과자
7,과자(스낵과자),과자
8,과자,과자
9,"흑깨다식,참깨다식 :과자류
대추조란,연근정과,금귤정과,편강정과:당절임류
호두마른정과:당절임류
매작과,쑥치자매작과:과자류",과자
10,과자유처리제품,과자
11,분쇄가공육,고기
12,분쇄가공육제품,고기
13,소시지,고기
14,소시지류,고기
15,포장육,고기
16,베이컨류,고기
17,갈비가공품,고기
18,양념육,고기
19,가열양념육,고기
20,양념육류,고기
21,식육가공품,고기
22,식육추출가공품,고기
23,프레스햄,고기
24,혼합프레스햄,고기
25,햄,고기
26,햄류,고기
27,"프레스햄,식육가공품",고기
28,건조저장육류,고기
29,단순식육추출가공품,고기
30,혼합식육추출가공품,고기
31,추출가공식품,고기
32,건조저장육,고기
33,포장육/닭고기,고기
34,분쇄가공품,고기
35,건조 저장육류,고기
36,햄류(햄),고기
37,축산물가공품,고기
38,비살균제품 및 포장육,고기
39,축산물조림,고기
40,식육추출가공육,고기
41,분쇄 가공육,고기
42,분쇄 가공육제품,고기
43,분쇄가공육가공품,고기
44,분쇄가공육식품,고기
45,분쇄가공육류,고기
46,식육가공품/분쇄가공육제품,고기
47,농축육수,고기
48,비가열양념육,고기
49,"양념육(소고기,앞다리살)",고기
50,양념육류-양념육,고기
51,양념육륙,고기
52,양념육류(양념육),고기
53,분쇄가공가육,고기
54,"양념육류,양념육",고기
55,포장육(오리),고기
56,포장육(닭고기),고기
57,양념육제품,고기
58,포장육(쇠고기/구이용),고기
59,포장육(쇠고기),고기
60,포장냉동육,고기
61,식육추출가공식품,고기
62,식육추출가고움,고기
63,식육함유가공품,고기
64,식육추출물가공품,고기
65,포장육(포장냉동육),고기
66,식육추출가공퓸,고기
67,포장육(돼지고기),고기
68,단순식육추출가공품.,고기
69,포장육(쇠고기/이유식용),고기
70,비가열 오리고기 포장육,고기
71,분쇄가고육제품,고기
72,즉석육가공품,고기
73,반건조소시지,고기
74,베이컨,고기
75,순대,고기
76,축산물가공품소시지,고기
77,혼합소시지,고기
78,유탕면류,국수
79,유탕면,국수
80,파스타류,국수
81,냉면,국수
82,라면,국수
83,유탕면유,국수
84,유탕면류(용기면),국수
85,면류,국수
86,유탕면류(봉지라면),국수
87,당면,국수
88,기타면류,국수
89,국수(숙면),국수
90,국수(생면),국수
91,냉면(숙면),국수
92,건면,국수
93,"면-국수,스프-복합조미식품",국수
94,국수(건면),국수
95,면류/국수,국수
96,숙면,국수
97,국수/숙면,국수
98,건면류(국수)/복합조미식품(스프),국수
99,"가공식품,라면",국수
100,국수(호화건면),국수
101,국수(개량숙면),국수
102,냉면(숙면류),국수
103,건면류,국수
104,당면(건면),국수
105,용기면,국수
106,가열양념육류,국수
107,"햄류, 프레스햄",국수
108,햄류-햄,국수
109,생햄,국수
110,국수,국수
111,"식품,국수",국수
112,기타 식용유지,기름
113,채종유,기름
114,옥배유,기름
115,들기름,기름
116,참기름,기름
117,참기름(통깨),기름
118,참기름 100%,기름
119,옥수수기름,기름
120,압착들기름,기름
121,압착참기름,기름
122,향미유,기름
123,카놀라유,기름
124,기타식용유지,기름
125,혼합식용유,기름
126,압착올리브유,기름
127,해바라기유,기름
128,콩기름(대두유),기름
129,대두유,기름
130,유지류-대두유-식용유,기름
131,크림발효유,기름
132,농후크림발효유,기름
133,현미유,기름
134,야자유,기름
135,채종유(유채유또는카놀라유),기름
136,무지방가공유,기름
137,임산수유부용식품,기름
138,정체유채유,기름
139,식용유지류,기름
140,탈지분유,기름
141,식용유지,기름
142,유산균발효유,기름
143,전지분유,기름
144,발효유(농후발효유),기름
145,조미김,김
146,수산물 가공식품,김
147,김,김
148,"수산물,김/미역",김
149,김자반,김
150,조미구이김,김
151,조미김류,김
152,땅콩 또는 견과류가공품,땅콩 또는 견과류 가공품
153,땅콩또는견과류가공품,땅콩 또는 견과류 가공품
154,땅콩,땅콩 또는 견과류 가공품
