RawKind,vegan,lactoVeg,ovoVeg,lactoOvoVeg,pescoVeg,polloVeg
꽃게추출물,1,1,1,1,0,0
꽃게추출물분말,1,1,1,1,0,0
게농축액분말,1,1,1,1,0,0
붉은대게농축액,1,1,1,1,0,0
꽃게농축액,1,1,1,1,0,0
게농축액,1,1,1,1,0,0
게농축액분말,1,1,1,1,0,0
꽃게짬뽕해물건더기,1,1,1,1,0,0
가라아게배터믹스,1,1,1,1,0,0
가라아게염지제,1,1,1,1,0,0
콜라겐게이싱,1,1,1,1,0,0
붉은대게농축분말,1,1,1,1,0,0
스파게티소스분말,1,1,1,1,0,0
붉은대게살,1,1,1,1,0,0
게살오므라이스,1,1,1,1,0,0
믹스넛투게더,1,1,1,1,0,0
토마토스파게티소스,1,1,1,1,0,0
가라게알파믹스,1,1,1,1,0,0
부대찌게향미유,1,1,1,1,0,0
게맛살조미후레이크,1,1,1,1,0,0
동결건조스파게티면,1,1,1,1,0,0
붉은대게농축액,1,1,1,1,0,0
홍게,1,1,1,1,0,0
꽃게추출물,1,1,1,1,0,0
붉은대게자숙액,1,1,1,1,0,0
튀긴꽃게오일,1,1,1,1,0,0
스파게티,1,1,1,1,0,0
게맛살,1,1,1,1,0,0
스파게티소스,1,1,1,1,0,0
게엑기스,1,1,1,1,0,0
붉은대게엑기스,1,1,1,1,0,0
게엑기스분말,1,1,1,1,0,0
쓰리인원내츄럴믹스게향,1,1,1,1,0,0
크림스파게티베이스,1,1,1,1,0,0
페스토스파게티야채건더기,1,1,1,1,0,0
게라닐아세테이트,1,1,1,1,0,0
붉은대게농축페이스트,1,1,1,1,0,0
꽃게탕분말스프,1,1,1,1,0,0
일동락토바실루스스포로게네스,1,1,1,1,0,0
게랑드천일염,1,1,1,1,0,0
냉동붉은대게살,1,1,1,1,0,0
구운꽃게엑기스,1,1,1,1,0,0
꽃게씨즈닝분말,1,1,1,1,0,0
스파게티면,1,1,1,1,0,0
홍게살,1,1,1,1,0,0
토마토스파게티소스분말,1,1,1,1,0,0
홍게다리살,1,1,1,1,0,0
동결건조토마토스파게티,1,1,1,1,0,0
꽃게엑기스,1,1,1,1,0,0
마르게리타다이스토마토,1,1,1,1,0,0
멍게,1,1,1,1,0,0
울진붉은대게,1,1,1,1,0,0
대게페이스트,1,1,1,1,0,0
부대찌게맛분말,1,1,1,1,0,0
게향,1,1,1,1,0,0
홍게맛살,1,1,1,1,0,0
콘베리게이트,1,1,1,1,0,0
크림스파게티분말,1,1,1,1,0,0
조미게엑기스분말,1,1,1,1,0,0
게추출농축액,1,1,1,1,0,0
꽃게,1,1,1,1,0,0
짜파게티맛시즈닝,1,1,1,1,0,0
꽃게농축액,1,1,1,1,0,0
다시마게,1,1,1,1,0,0
투게더클래식,1,1,1,1,0,0
게란후레이크,1,1,1,1,0,0
홍게엑기스분말,1,1,1,1,0,0
가라아게믹스므,1,1,1,1,0,0
치킨엑게스,1,1,1,1,0,0
꽃게짬뽕,1,1,1,1,0,0
꽃게베이스,1,1,1,1,0,0
유게놀,1,1,1,1,0,0
말토게닉아밀라아제,1,1,1,1,0,0
붉은대게다리살,1,1,1,1,0,0
크림스파게티소스,1,1,1,1,0,0
꽃게풍미베이스,1,1,1,1,0,0
칠리토마토스파게티소스,1,1,1,1,0,0
게농축액,1,1,1,1,0,0
게,1,1,1,1,0,0
유화게,1,1,1,1,0,0
게다리살,1,1,1,1,0,0
게라나올,1,1,1,1,0,0
꽃게풍미유,1,1,1,1,0,0
꽃게탕액상스프,1,1,1,1,0,0
게엑기스엔엠,1,1,1,1,0,0
꽃게탕면건더기,1,1,1,1,0,0
생강엑게스분말,1,1,1,1,0,0
가라아게배터,1,1,1,1,0,0
레드가라게믹스,1,1,1,1,0,0
스파게티용믹스,1,1,1,1,0,0
꽃게추출물분말,1,1,1,1,0,0
냉동게,1,1,1,1,0,0
스파게티소스시즈닝믹스,1,1,1,1,0,0
