,0
0,유부
1,사골
2,함흥비빔냉면
3,아황산
4,레시틴
5,달걀
6,계산
7,유우
8,헤이즐넛
9,토마도
10,탈지대두
11,대두함유
12,쇠고기
13,고등어함유
14,밀쌀
15,굴함유
16,유래
17,새우
18,게란
19,아황산류함유
20,탕콩
21,계
22,계란함유
23,호두마른정과
24,이산화황
25,돈골추출액
26,타요견과
27,유유
28,팬케이크
29,전복
30,떡볶이떡
31,카제인나트륨
32,바지락
33,메밀함유
34,아황산류
35,우유
36,홍합
37,복숭아
38,새우추출물
39,참깨
40,볶음새우
41,알수없음
42,본
43,게함유
44,밀
45,굴
46,돼지
47,굴
48,소맥
49,우유포함
50,산성아황산나트륨
51,조미유부
52,돈골추출물
53,돈지방
54,대두포함
55,돼지고기에
56,소맥분
57,토마토
58,알러지유발식품없음
59,토마토페이스트
60,닭고기
61,양조간장
62,돼지고기함유
63,우유함유식품
64,땅콩
65,새우엑기스
66,밀함유
67,아몬드
68,닭고기
69,현미유과
70,알
71,난황분말
72,전복포함
73,땅콩
74,소고기
75,호도
76,밀단백추출물
77,모시조개
78,대두
79,오징어새우
80,밀함유식품
81,고등어
82,토미토
83,게농축액
84,조개루
85,풍성한어묵탕
86,새우분말
87,게
88,소고기함유
89,복숭아함유
90,토마
91,우유함유
92,이
93,돈육
94,분리대두단백
95,조래규
96,조개
97,우유가
98,오징어
99,두부
100,난류
101,대듀
102,돼고기
103,계란
104,우골
105,적두
106,알파소맥
107,꼬막
108,굴포함
109,대두함유식품
110,콩
111,새우가루
112,우사골
113,디엘파마산플러스
114,가리비
115,양파
116,난각칼슘
117,땅콩볶음분
118,밀가루
119,쇠구기함유
120,이산화황함유
121,복훙아
122,메추리알
123,메밀가루
124,홍합포함
125,소뼈
126,쇠고기함유
127,조개류
128,괘지고기
129,토마투
130,닭괴
131,토마토함유
132,대두유
133,이제품은
134,새우함유
135,이황산류
136,닭뼈
137,돈혈
138,닭가슴살
139,페닐알라닌
140,유당
141,탈지분유
142,우유제품
143,쇠고기
144,쇠소기
145,땅콩함유
146,돈창
147,아산화황
148,토마토함유식품
149,호두함유
150,버터
151,닭고기향가루
152,돼지고기
153,호두
154,이산화항
155,함유
156,춘장
157,아황산나트륨함유
158,돈골
159,피칸
160,난백
161,난황
162,평양물냉면
163,생선
164,잣
165,닭고기함유
166,명산
167,우류
168,젤란검
169,아황산류함유식품
170,함유식품
171,유청분말
172,게추출물
173,난류함유
174,돼지고기함유식품
175,유청
176,일수없음
177,옥수수
178,메밀
179,날류
180,조개류함유
181,돈지
182,오징어함유
183,알류
184,위소라
185,닭
186,아황산나트륨
187,볶음분말
188,건식빵가루
189,고등어추출액
