prdKind,allergy,isCrossReact,parentAllergy,probablility
과자류,null,0,null,null
시리얼류,null,0,null,null
"과자,소스류",null,0,null,null
과자(스낵과자류),null,0,null,null
과자(비스킷류),null,0,null,null
과자(기타),null,0,null,null
과자(유탕처리제품),null,0,null,null
과자(스낵과자),null,0,null,null
과자,null,0,null,null
"흑깨다식,참깨다식 :과자류
대추조란,연근정과,금귤정과,편강정과:당절임류
호두마른정과:당절임류
매작과,쑥치자매작과:과자류",null,0,null,null
과자유처리제품,null,0,null,null
분쇄가공육,null,0,null,null
분쇄가공육제품,null,0,null,null
소시지,null,0,null,null
소시지류,null,0,null,null
포장육,null,0,null,null
베이컨류,null,0,null,null
갈비가공품,null,0,null,null
양념육,null,0,null,null
가열양념육,null,0,null,null
양념육류,null,0,null,null
식육가공품,null,0,null,null
식육추출가공품,null,0,null,null
프레스햄,null,0,null,null
혼합프레스햄,null,0,null,null
햄,null,0,null,null
햄류,null,0,null,null
"프레스햄,식육가공품",null,0,null,null
건조저장육류,null,0,null,null
단순식육추출가공품,null,0,null,null
혼합식육추출가공품,null,0,null,null
추출가공식품,null,0,null,null
건조저장육,null,0,null,null
분쇄가공품,null,0,null,null
건조 저장육류,null,0,null,null
햄류(햄),null,0,null,null
축산물가공품,null,0,null,null
비살균제품 및 포장육,null,0,null,null
축산물조림,null,0,null,null
식육추출가공육,null,0,null,null
분쇄 가공육,null,0,null,null
분쇄 가공육제품,null,0,null,null
분쇄가공육가공품,null,0,null,null
분쇄가공육식품,null,0,null,null
분쇄가공육류,null,0,null,null
식육가공품/분쇄가공육제품,null,0,null,null
농축육수,null,0,null,null
비가열양념육,null,0,null,null
양념육류-양념육,null,0,null,null
양념육륙,null,0,null,null
양념육류(양념육),null,0,null,null
분쇄가공가육,null,0,null,null
"양념육류,양념육",null,0,null,null
양념육제품,null,0,null,null
포장냉동육,null,0,null,null
식육추출가공식품,null,0,null,null
식육추출가고움,null,0,null,null
식육함유가공품,null,0,null,null
식육추출물가공품,null,0,null,null
포장육(포장냉동육),null,0,null,null
식육추출가공퓸,null,0,null,null
단순식육추출가공품.,null,0,null,null
분쇄가고육제품,null,0,null,null
즉석육가공품,null,0,null,null
반건조소시지,null,0,null,null
축산물가공품소시지,null,0,null,null
혼합소시지,null,0,null,null
포장육(닭고기),null,0,null,null
포장육(오리),null,0,null,null
포장육/닭고기,null,0,null,null
비가열 오리고기 포장육,null,0,null,null
포장육(돼지고기),돼지고기,0,null,null
베이컨,돼지고기,0,null,null
순대,돼지고기,0,null,null
"양념육(소고기,앞다리살)",쇠고기,0,null,null
포장육(쇠고기/구이용),쇠고기,0,null,null
포장육(쇠고기),쇠고기,0,null,null
포장육(쇠고기/이유식용),쇠고기,0,null,null
유탕면류,null,0,null,null
유탕면,null,0,null,null
파스타류,null,0,null,null
냉면,null,0,null,null
라면,null,0,null,null
유탕면유,null,0,null,null
유탕면류(용기면),null,0,null,null
면류,null,0,null,null
유탕면류(봉지라면),null,0,null,null
당면,null,0,null,null
기타면류,null,0,null,null
국수(숙면),null,0,null,null
국수(생면),null,0,null,null
냉면(숙면),null,0,null,null
건면,null,0,null,null
"면-국수,스프-복합조미식품",null,0,null,null
국수(건면),null,0,null,null
면류/국수,null,0,null,null
숙면,null,0,null,null
국수/숙면,null,0,null,null
건면류(국수)/복합조미식품(스프),null,0,null,null
"가공식품,라면",null,0,null,null
국수(호화건면),null,0,null,null
국수(개량숙면),null,0,null,null
냉면(숙면류),null,0,null,null
건면류,null,0,null,null
당면(건면),null,0,null,null
용기면,null,0,null,null
국수,null,0,null,null
"식품,국수",null,0,null,null
기타 식용유지,null,0,null,null
채종유,null,0,null,null
옥배유,null,0,null,null
들기름,null,0,null,null
참기름,null,0,null,null
참기름(통깨),null,0,null,null
참기름 100%,null,0,null,null
옥수수기름,null,0,null,null
압착들기름,null,0,null,null
압착참기름,null,0,null,null
향미유,null,0,null,null
카놀라유,null,0,null,null
기타식용유지,null,0,null,null
혼합식용유,null,0,null,null
압착올리브유,null,0,null,null
해바라기유,null,0,null,null
농후크림발효유,null,0,null,null
현미유,null,0,null,null
야자유,null,0,null,null
채종유(유채유또는카놀라유),null,0,null,null
임산수유부용식품,null,0,null,null
정체유채유,null,0,null,null
식용유지류,null,0,null,null
탈지분유,null,0,null,null
식용유지,null,0,null,null
유산균발효유,null,0,null,null
전지분유,null,0,null,null
발효유(농후발효유),null,0,null,null
김,null,0,null,null
조미김,null,0,null,null
수산물 가공식품,null,0,null,null
김,null,0,null,null
"수산물,김/미역",null,0,null,null
김자반,null,0,null,null
조미구이김,null,0,null,null
조미김류,null,0,null,null
해조류,null,0,null,null
땅콩 또는 견과류가공품,null,0,null,null
땅콩또는견과류가공품,null,0,null,null
땅콩,null,0,null,null
땅콩 또는 견과류,null,0,null,null
땅콩 또는 결과류 가공품,null,0,null,null
땅콩 또는 견과류 가공품(레토르트 식품),null,0,null,null
땅콩또는견과류가공품(레토르트식품),null,0,null,null
땅콩 또는 견과류가공,null,0,null,null
땅콩 또는견과류가공품,null,0,null,null
땅콩 또는 견과류 가공품,null,0,null,null
밀가루,밀,0,null,null
빵류,밀,0,null,null
빵류(케이크),밀,0,null,null
빵류(기타),밀,0,null,null
빵류(식빵),밀,0,null,null
영양강화밀가루,밀,0,null,null
기타밀가루,밀,0,null,null
밀가루 1등급,밀,0,null,null
밀가루(1등급),밀,0,null,null
밀가루1등급,밀,0,null,null
밀가루 2등급,밀,0,null,null
밀가루(강력밀가루1등급),밀,0,null,null
밀가루(중력분 1등급),밀,0,null,null
밀가루(2등급),밀,0,null,null
밀가루(박력밀가루1등급),밀,0,null,null
"기타가공식품, 빵가루",밀,0,null,null
"빵류, 카스텔라",밀,0,null,null
기타빵 및 떡류(냉동전 비가열제품),밀,0,null,null
기타빵,밀,0,null,null
빵류(파이),밀,0,null,null
식품/빵류,밀,0,null,null
빵류(도넛),밀,0,null,null
빵류(페스츄리류),밀,0,null,null
어묵,생선,0,null,null
어육,생선,0,null,null
기타어육가공품,생선,0,null,null
어육소시지,생선,0,null,null
맛살,생선,0,null,null
조미건어포류,생선,0,null,null
양념젓갈,생선,0,null,null
수산물가공품(어류),생선,0,null,null
조미건어포,생선,0,null,null
수산물가공품(기타),생선,0,null,null
수산물조림,생선,0,null,null
건어포류,생선,0,null,null
어묵/어육제품,생선,0,null,null
어육가공품,생선,0,null,null
어묵(유탕처리식품/비살균제품),생선,0,null,null
"냉동식품, 어묵",생선,0,null,null
어묵소시지,생선,0,null,null
어묵(살균제품),생선,0,null,null
식품/어묵,생선,0,null,null
어묵(유탕처리제품/비살균제품),생선,0,null,null
어육가공품중 어묵,생선,0,null,null
조미오징어,생선,0,null,null
어묵류,생선,0,null,null
혼합장,null,0,null,null
드레싱,null,0,null,null
고추장,null,0,null,null
양조간장,null,0,null,null
혼합간장,null,0,null,null
발효식초,null,0,null,null
천연향신료,null,0,null,null
마요네즈,null,0,null,null
한식간장,null,0,null,null
효소분해간장,null,0,null,null
신분해간장,null,0,null,null
설탕,null,0,null,null
기타과당,null,0,null,null
천연향신료(생강),null,0,null,null
식품/가공소금,null,0,null,null
고춧가루,null,0,null,null
물엿,null,0,null,null
향신료조제품,null,0,null,null
토마토케첩,null,0,null,null
가공소금,null,0,null,null
소스류(조미식품),null,0,null,null
기타설탕,null,0,null,null
백설탕,null,0,null,null
춘장,null,0,null,null
소스,null,0,null,null
소스류(레토르트식품),null,0,null,null
기타장류,null,0,null,null
"소스류,레토르트식품",null,0,null,null
개량한식간장,null,0,null,null
갈색설탕,null,0,null,null
천일염,null,0,null,null
"떡볶이떡: 떡류
국물쫄복이소스 : 소스
생쫄면: 숙면
대파와 양배추 고명: 기타가공품",null,0,null,null
소스류,null,0,null,null
소스류 염도 : 10,null,0,null,null
떡류/소스류,null,0,null,null
알가공품,난류,0,null,null
알가열성형제품,난류,0,null,null
염지란,난류,0,null,null
알가열 성형제품,난류,0,null,null
알가열성형식품,난류,0,null,null
알가공품(염지란),난류,0,null,null
알가공성형제품,난류,0,null,null
알가공품/염지란,난류,0,null,null
유음료,우유,0,null,null
아이스크림,우유,0,null,null
아이스밀크,우유,0,null,null
가공유,우유,0,null,null
저지방가공유,우유,0,null,null
가공유크림,우유,0,null,null
강화우유,우유,0,null,null
휘핑크림,우유,0,null,null
가공우유,우유,0,null,null
농후발효유,우유,0,null,null
발효유,우유,0,null,null
연성가공치즈,우유,0,null,null
반경성치즈,우유,0,null,null
생치즈,우유,0,null,null
연성치즈,우유,0,null,null
生치즈,우유,0,null,null
발효유류,우유,0,null,null
저지방우유,우유,0,null,null
자연치즈,우유,0,null,null
가공버터,우유,0,null,null
강화저지방우유,우유,0,null,null
비유지방아이스크림,우유,0,null,null
유제품류,우유,0,null,null
액상요구르트,우유,0,null,null
유크림,우유,0,null,null
가공치즈,우유,0,null,null
반경성치즈(자연치즈),우유,0,null,null
자연숙성치즈,우유,0,null,null
자연치즈(연성치즈),우유,0,null,null
치즈,우유,0,null,null
연성자연치즈,우유,0,null,null
자연치즈(반경성),우유,0,null,null
경성치즈,우유,0,null,null
혼합가공치즈,우유,0,null,null
자연치즈(모짜렐라),우유,0,null,null
가당연유,우유,0,null,null
우유,우유,0,null,null
저지방우유(유지방 함량1.5% 미만),우유,0,null,null
우유류,우유,0,null,null
유기농우유,우유,0,null,null
유당분해우유,우유,0,null,null
우유파스퇴라이제이션,우유,0,null,null
흰우유,우유,0,null,null
무지방가공유,우유,0,null,null
유기농저지방우유,우유,0,null,null
착향우유,우유,0,null,null
저지방유당분해우유,우유,0,null,null
아이스밀크(유지방3%),우유,0,null,null
아이스밀크(유지방2%),우유,0,null,null
아이스크림믹스류,우유,0,null,null
아이스크림류,우유,0,null,null
크림,우유,0,null,null
아이스크림믹스,우유,0,null,null
아이스크림(유지방9%),우유,0,null,null
버터,우유,0,null,null
요구르트,우유,0,null,null
산양유,우유,0,null,null
크림발효유,우유,0,null,null
혼합음료,null,0,null,null
탄산음료,null,0,null,null
홍삼음료,null,0,null,null
음료베이스,null,0,null,null
음료,null,0,null,null
Energy Drinks,null,0,null,null
유산균음료,null,0,null,null
혼합 음료,null,0,null,null
탁주,null,0,null,null
탄산수,null,0,null,null
음료베이스(분말),null,0,null,null
홍상음료,null,0,null,null
유산균 음료,null,0,null,null
음료베이스(기타),null,0,null,null
인삼음료,null,0,null,null
차음료,null,0,null,null
과즙음료,null,0,null,null
과·채음료,null,0,null,null
과·채주스,null,0,null,null
과채주스,null,0,null,null
과.채주스,null,0,null,null
과채음료,null,0,null,null
과.채음료,null,0,null,null
과.채주스-비가열,null,0,null,null
과.채음료-가열,null,0,null,null
과.채주스-가열,null,0,null,null
과 · 채주스,null,0,null,null
과 · 채음료,null,0,null,null
"과,채주스",null,0,null,null
과/채음료,null,0,null,null
"과,채음료",null,0,null,null
식품/과/채음료,null,0,null,null
과 채주스,null,0,null,null
과.채음료-비가열,null,0,null,null
과 • 채음료,null,0,null,null
소주,null,0,null,null
액상차(과실차),null,0,null,null
"액상차,합성현미향첨가",null,0,null,null
단일침출차,null,0,null,null
금농홍차,null,0,null,null
침출차,null,0,null,null
고형차,null,0,null,null
액상차,null,0,null,null
액상차(기타),null,0,null,null
초콜릿가공품,null,0,null,null
초콜릿 가공품,null,0,null,null
패밀리밀크초콜릿,null,0,null,null
밀크초콜릿,null,0,null,null
기타코코아가공품,null,0,null,null
초콜릿,null,0,null,null
준초콜릿,null,0,null,null
기타 코코아 가공품,null,0,null,null
기타 코코아가공품,null,0,null,null
초콜렛가공품,null,0,null,null
액상커피,null,0,null,null
인스턴트 커피,null,0,null,null
볶은커피,null,0,null,null
조제커피,null,0,null,null
원두커피,null,0,null,null
두부,콩,0,null,null
가공두부,콩,0,null,null
"가공두부,유부",콩,0,null,null
두류가공품,콩,0,null,null
두유,콩,0,null,null
된장,콩,0,null,null
청국장,콩,0,null,null
콩기름,콩,0,null,null
유지류-대두유-식용유,콩,0,null,null
콩기름(대두유),콩,0,null,null
대두유,콩,0,null,null
가공두유,콩,0,null,null
두부류,콩,0,null,null
기타두유,콩,0,null,null
가공두부/유부,콩,0,null,null
두부류/가공두부,콩,0,null,null
None,null,0,null,null
알수없음,null,0,null,null
즉석조리식품,null,0,null,null
기타가공품,null,0,null,null
곡류가공품,null,0,null,null
캔디류,null,0,null,null
수산물가공품,null,0,null,null
수산물 가공품,null,0,null,null
임산·수유부용식품,null,0,null,null
성장용조제식,null,0,null,null
식물성 크림,null,0,null,null
식물성크림,null,0,null,null
가열하여 섭취하는 냉동식품,null,0,null,null
캔디류(캐러멜),null,0,null,null
이소말토올리고,null,0,null,null
혼합,null,0,null,null
기타 영.유아식,null,0,null,null
