rawMtrl,allergy,isCrossReact,probablility
꽃게추출물,게,false,null
꽃게추출물분말,게,false,null
게농축액분말,게,false,null
붉은대게농축액,게,false,null
꽃게농축액,게,false,null
게농축액,게,false,null
게농축액분말,게,false,null
꽃게짬뽕해물건더기,게,false,null
가라아게배터믹스,게,false,null
가라아게염지제,게,false,null
콜라겐게이싱,게,false,null
붉은대게농축분말,게,false,null
스파게티소스분말,게,false,null
붉은대게살,게,false,null
게살오므라이스,게,false,null
믹스넛투게더,게,false,null
토마토스파게티소스,게,false,null
가라게알파믹스,게,false,null
부대찌게향미유,게,false,null
게맛살조미후레이크,게,false,null
동결건조스파게티면,게,false,null
붉은대게농축액,게,false,null
홍게,게,false,null
꽃게추출물,게,false,null
붉은대게자숙액,게,false,null
튀긴꽃게오일,게,false,null
스파게티,게,false,null
게맛살,게,false,null
스파게티소스,게,false,null
게엑기스,게,false,null
붉은대게엑기스,게,false,null
게엑기스분말,게,false,null
쓰리인원내츄럴믹스게향,게,false,null
크림스파게티베이스,게,false,null
페스토스파게티야채건더기,게,false,null
게라닐아세테이트,게,false,null
붉은대게농축페이스트,게,false,null
꽃게탕분말스프,게,false,null
일동락토바실루스스포로게네스,게,false,null
게랑드천일염,게,false,null
냉동붉은대게살,게,false,null
구운꽃게엑기스,게,false,null
꽃게씨즈닝분말,게,false,null
스파게티면,게,false,null
홍게살,게,false,null
토마토스파게티소스분말,게,false,null
홍게다리살,게,false,null
동결건조토마토스파게티,게,false,null
꽃게엑기스,게,false,null
마르게리타다이스토마토,게,false,null
멍게,게,false,null
울진붉은대게,게,false,null
대게페이스트,게,false,null
부대찌게맛분말,게,false,null
게향,게,false,null
홍게맛살,게,false,null
콘베리게이트,게,false,null
크림스파게티분말,게,false,null
조미게엑기스분말,게,false,null
게추출농축액,게,false,null
꽃게,게,false,null
짜파게티맛시즈닝,게,false,null
꽃게농축액,게,false,null
다시마게,게,false,null
투게더클래식,게,false,null
게란후레이크,게,false,null
홍게엑기스분말,게,false,null
가라아게믹스므,게,false,null
치킨엑게스,게,false,null
꽃게짬뽕,게,false,null
꽃게베이스,게,false,null
유게놀,게,false,null
말토게닉아밀라아제,게,false,null
붉은대게다리살,게,false,null
크림스파게티소스,게,false,null
꽃게풍미베이스,게,false,null
칠리토마토스파게티소스,게,false,null
게농축액,게,false,null
게,게,false,null
유화게,게,false,null
게다리살,게,false,null
게라나올,게,false,null
꽃게풍미유,게,false,null
꽃게탕액상스프,게,false,null
게엑기스엔엠,게,false,null
꽃게탕면건더기,게,false,null
생강엑게스분말,게,false,null
가라아게배터,게,false,null
레드가라게믹스,게,false,null
스파게티용믹스,게,false,null
꽃게추출물분말,게,false,null
냉동게,게,false,null
스파게티소스시즈닝믹스,게,false,null
게랑드소금,게,false,null
고등어함유,고등어,false,null
고등어추출액,고등어,false,null
고등어추출물,고등어,false,null
고등어,고등어,false,null
고등어엑기스,고등어,false,null
알함유가공품,난류,false,null
메추리알,난류,false,null
메추리알모양후레이크,난류,false,null
깐메추리알,난류,false,null
누리웰깐메추리알,난류,false,null
달걀,난류,false,null
가당난황분말,난류,false,null
난황분말,난류,false,null
냉동난황,난류,false,null
가당난황분말,난류,false,null
난황액피엘,난류,false,null
난황파우더,난류,false,null
난황색,난류,false,null
가당난황액,난류,false,null
난황분,난류,false,null
난황립,난류,false,null
난황액,난류,false,null
가당난황,난류,false,null
계란난황립,난류,false,null
난황,난류,false,null
유정가염난황,난류,false,null
난황오일,난류,false,null
난황분말,난류,false,null
가염난황액,난류,false,null
난황액에스,난류,false,null
가염난황,난류,false,null
