prdKind,vegan,lactoVeg,ovoVeg,lactoOvoVeg,pescoVeg,polloVeg
과자류,0,0,0,0,0,0
시리얼류,0,0,0,0,0,0
"과자,소스류",0,0,0,0,0,0
과자(스낵과자류),0,0,0,0,0,0
과자(비스킷류),0,0,0,0,0,0
과자(기타),0,0,0,0,0,0
과자(유탕처리제품),0,0,0,0,0,0
과자(스낵과자),0,0,0,0,0,0
과자,0,0,0,0,0,0
"흑깨다식,참깨다식 :과자류
대추조란,연근정과,금귤정과,편강정과:당절임류
호두마른정과:당절임류
매작과,쑥치자매작과:과자류",0,0,0,0,0,0
과자유처리제품,0,0,0,0,0,0
분쇄가공육,1,1,1,1,0,0
분쇄가공육제품,1,1,1,1,0,0
소시지,1,1,1,1,0,0
소시지류,1,1,1,1,0,0
포장육,1,1,1,1,0,0
베이컨류,1,1,1,1,0,0
갈비가공품,1,1,1,1,0,0
양념육,1,1,1,1,0,0
가열양념육,1,1,1,1,0,0
양념육류,1,1,1,1,0,0
식육가공품,1,1,1,1,0,0
식육추출가공품,1,1,1,1,0,0
프레스햄,1,1,1,1,0,0
혼합프레스햄,1,1,1,1,0,0
햄,1,1,1,1,0,0
햄류,1,1,1,1,0,0
"프레스햄,식육가공품",1,1,1,1,0,0
건조저장육류,1,1,1,1,0,0
단순식육추출가공품,1,1,1,1,0,0
혼합식육추출가공품,1,1,1,1,0,0
추출가공식품,1,1,1,1,0,0
건조저장육,1,1,1,1,0,0
분쇄가공품,1,1,1,1,0,0
건조 저장육류,1,1,1,1,0,0
햄류(햄),1,1,1,1,0,0
축산물가공품,1,1,1,1,0,0
비살균제품 및 포장육,1,1,1,1,0,0
축산물조림,1,1,1,1,0,0
식육추출가공육,1,1,1,1,0,0
분쇄 가공육,1,1,1,1,0,0
분쇄 가공육제품,1,1,1,1,0,0
분쇄가공육가공품,1,1,1,1,0,0
분쇄가공육식품,1,1,1,1,0,0
분쇄가공육류,1,1,1,1,0,0
식육가공품/분쇄가공육제품,1,1,1,1,0,0
농축육수,1,1,1,1,0,0
비가열양념육,1,1,1,1,0,0
양념육류-양념육,1,1,1,1,0,0
양념육륙,1,1,1,1,0,0
양념육류(양념육),1,1,1,1,0,0
분쇄가공가육,1,1,1,1,0,0
"양념육류,양념육",1,1,1,1,0,0
양념육제품,1,1,1,1,0,0
포장냉동육,1,1,1,1,0,0
식육추출가공식품,1,1,1,1,0,0
식육추출가고움,1,1,1,1,0,0
식육함유가공품,1,1,1,1,0,0
식육추출물가공품,1,1,1,1,0,0
포장육(포장냉동육),1,1,1,1,0,0
식육추출가공퓸,1,1,1,1,0,0
단순식육추출가공품.,1,1,1,1,0,0
분쇄가고육제품,1,1,1,1,0,0
즉석육가공품,1,1,1,1,0,0
반건조소시지,1,1,1,1,0,0
축산물가공품소시지,1,1,1,1,0,0
혼합소시지,1,1,1,1,0,0
포장육(닭고기),1,1,1,1,1,0
포장육(오리),1,1,1,1,1,0
포장육/닭고기,1,1,1,1,1,0
비가열 오리고기 포장육,1,1,1,1,1,0
포장육(돼지고기),1,1,1,1,1,1
베이컨,1,1,1,1,1,1
순대,1,1,1,1,1,1
"양념육(소고기,앞다리살)",1,1,1,1,1,1
포장육(쇠고기/구이용),1,1,1,1,1,1
포장육(쇠고기),1,1,1,1,1,1
포장육(쇠고기/이유식용),1,1,1,1,1,1
유탕면류,0,0,0,0,0,0
유탕면,0,0,0,0,0,0
파스타류,0,0,0,0,0,0
냉면,0,0,0,0,0,0
라면,0,0,0,0,0,0
유탕면유,0,0,0,0,0,0
유탕면류(용기면),0,0,0,0,0,0
면류,0,0,0,0,0,0
유탕면류(봉지라면),0,0,0,0,0,0
당면,0,0,0,0,0,0
기타면류,0,0,0,0,0,0
국수(숙면),0,0,0,0,0,0
국수(생면),0,0,0,0,0,0
냉면(숙면),0,0,0,0,0,0
건면,0,0,0,0,0,0
"면-국수,스프-복합조미식품",0,0,0,0,0,0
국수(건면),0,0,0,0,0,0
면류/국수,0,0,0,0,0,0
숙면,0,0,0,0,0,0
국수/숙면,0,0,0,0,0,0
건면류(국수)/복합조미식품(스프),0,0,0,0,0,0
"가공식품,라면",0,0,0,0,0,0
국수(호화건면),0,0,0,0,0,0
국수(개량숙면),0,0,0,0,0,0
냉면(숙면류),0,0,0,0,0,0
건면류,0,0,0,0,0,0
당면(건면),0,0,0,0,0,0
용기면,0,0,0,0,0,0
국수,0,0,0,0,0,0
"식품,국수",0,0,0,0,0,0
기타 식용유지,0,0,0,0,0,0
채종유,0,0,0,0,0,0
옥배유,0,0,0,0,0,0
들기름,0,0,0,0,0,0
참기름,0,0,0,0,0,0
참기름(통깨),0,0,0,0,0,0
참기름 100%,0,0,0,0,0,0
옥수수기름,0,0,0,0,0,0
압착들기름,0,0,0,0,0,0
압착참기름,0,0,0,0,0,0
향미유,0,0,0,0,0,0
카놀라유,0,0,0,0,0,0
기타식용유지,0,0,0,0,0,0
혼합식용유,0,0,0,0,0,0
압착올리브유,0,0,0,0,0,0
해바라기유,0,0,0,0,0,0
농후크림발효유,0,0,0,0,0,0
현미유,0,0,0,0,0,0
야자유,0,0,0,0,0,0
채종유(유채유또는카놀라유),0,0,0,0,0,0
임산수유부용식품,0,0,0,0,0,0
정체유채유,0,0,0,0,0,0
식용유지류,0,0,0,0,0,0
탈지분유,0,0,0,0,0,0
식용유지,0,0,0,0,0,0
유산균발효유,0,0,0,0,0,0
전지분유,0,0,0,0,0,0
발효유(농후발효유),0,0,0,0,0,0
김,0,0,0,0,0,0
조미김,0,0,0,0,0,0
수산물 가공식품,0,0,0,0,0,0
김,0,0,0,0,0,0
"수산물,김/미역",0,0,0,0,0,0
김자반,0,0,0,0,0,0
조미구이김,0,0,0,0,0,0
조미김류,0,0,0,0,0,0
해조류,0,0,0,0,0,0
땅콩 또는 견과류가공품,0,0,0,0,0,0
땅콩또는견과류가공품,0,0,0,0,0,0
땅콩,0,0,0,0,0,0
땅콩 또는 견과류,0,0,0,0,0,0
땅콩 또는 결과류 가공품,0,0,0,0,0,0
땅콩 또는 견과류 가공품(레토르트 식품),0,0,0,0,0,0
땅콩또는견과류가공품(레토르트식품),0,0,0,0,0,0
땅콩 또는 견과류가공,0,0,0,0,0,0
땅콩 또는견과류가공품,0,0,0,0,0,0
땅콩 또는 견과류 가공품,0,0,0,0,0,0
밀가루,0,0,0,0,0,0
빵류,0,0,0,0,0,0
빵류(케이크),0,0,0,0,0,0
빵류(기타),0,0,0,0,0,0
빵류(식빵),0,0,0,0,0,0
영양강화밀가루,0,0,0,0,0,0
기타밀가루,0,0,0,0,0,0
밀가루 1등급,0,0,0,0,0,0
밀가루(1등급),0,0,0,0,0,0
밀가루1등급,0,0,0,0,0,0
밀가루 2등급,0,0,0,0,0,0
밀가루(강력밀가루1등급),0,0,0,0,0,0
밀가루(중력분 1등급),0,0,0,0,0,0
밀가루(2등급),0,0,0,0,0,0
밀가루(박력밀가루1등급),0,0,0,0,0,0
"기타가공식품, 빵가루",0,0,0,0,0,0
"빵류, 카스텔라",0,0,0,0,0,0
기타빵 및 떡류(냉동전 비가열제품),0,0,0,0,0,0
기타빵,0,0,0,0,0,0
빵류(파이),0,0,0,0,0,0
식품/빵류,0,0,0,0,0,0
빵류(도넛),0,0,0,0,0,0
빵류(페스츄리류),0,0,0,0,0,0
어묵,1,1,1,1,0,0
어육,1,1,1,1,0,0
기타어육가공품,1,1,1,1,0,0
어육소시지,1,1,1,1,0,0
맛살,1,1,1,1,0,0
조미건어포류,1,1,1,1,0,0
양념젓갈,1,1,1,1,0,0
수산물가공품(어류),1,1,1,1,0,0
조미건어포,1,1,1,1,0,0
수산물가공품(기타),1,1,1,1,0,0
수산물조림,1,1,1,1,0,0
건어포류,1,1,1,1,0,0
어묵/어육제품,1,1,1,1,0,0
어육가공품,1,1,1,1,0,0
어묵(유탕처리식품/비살균제품),1,1,1,1,0,0
