rnum,prdlstreportno,productgb,prdlstnm,rawmtrl,allergy,nutrient,barcode,prdkind,prdkindstate,manufacture,seller,capacity,imgurl1,imgurl2
1,201705484642 ,식품,국산콩두부두모,"대두100%(국산),천연원료식물성유산균천일염응고제(조제해수염화마그네슘,현미유,식물성유산균발효액 ENT)",알수없음,"100g당/총 내용량 300g
열량 80kcal, 나트륨 0% 0mg, 탄수화물 0% 1g, 당류 0% 0g, 지방 7% 3.8g, 트랜스지방 0g, 포화지방 4% 0.6g, 콜레스테롤 0% 0mg, 단백질 22% 12g
1일 영양성분 기준치에 대한 비율(%)은 2,000 kcal 기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.",8801024949960 ,두부,알수없음,대상㈜구미공장_경상북도 구미시 산동면 첨단기업5로 48-38,대상㈜횡성공장_강원도 횡성군 횡성읍 청용길 15,300g,http://fresh.haccp.or.kr/prdimg/2017/201705484642/201705484642-1.jpg,http://fresh.haccp.or.kr/prdimg/2017/201705484642/201705484642-2.jpg
2,201705484641 ,식품,국산콩고소한두부,"대두100%(국산), 천연원료식물성유산균천일염응고제(조제해수염화마그네슘, 현미유, 식물성유산균발효액ENT)",대두,"100g당 / 총 내용량 400g
열량80kcal, 나트륨0mg 0%, 탄수화물1g 0%, 당류0g 0%, 지방4.7g 9%, 트랜스지방0g, 포화지방0.8g 5%, 콜레스테롤0mg 0%, 단백질8g 15% 
1일 영양성분 기준치에 대한 비율(%)은 2,000kcal 기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.",8801024051519 ,두부,알수없음,대상㈜ 구미공장_경상북도 구미시 산동면 첨단기업5로 48-38,대상㈜ 횡성공장_강원도 횡성군 횡성읍 청용길 15,400g(320kcal),http://fresh.haccp.or.kr/prdimg/2017/201705484641/201705484641-1.jpg,http://fresh.haccp.or.kr/prdimg/2017/201705484641/201705484641-2.jpg
3,201705037815 ,식품,목포미항 재래김,"재래김65%,옥배유(수입산30.4%),참기름(인도산2%),천일염(국내산2%),생강0.3%,감초뿌리(0.3%)",알수없음,알수없음,알수없음,조미김,알수없음,유한회사 청해에스앤에프_전남 목포시 전라남도 목포시 대양산단로125번길 139 (대양동),_,20g(100kcal),http://fresh.haccp.or.kr/prdimg/2017/201705037815/201705037815-1.jpg,http://fresh.haccp.or.kr/prdimg/2017/201705037815/201705037815-2.jpg
4,201704902541 ,식품,빛깔좋은 고춧가루,건고추(국산)100%,알수없음,알수없음,알수없음,고춧가루,알수없음,농업회사법인(유)청림_전라북도 정읍시 소성면 식품특화로 53,_,1kg,http://fresh.haccp.or.kr/prdimg/2017/201704902541/201704902541-1.jpg,http://fresh.haccp.or.kr/prdimg/2017/201704902541/201704902541-2.jpg
5,201704760012 ,축산물,미소담은 돈까스,"돼지고기68.95%(국내산),우리밀빵가루[밀가루89%(국내산),해바라기유(수입산),생이스트,유기농설탕,소금],우리밀튀김가루[밀가루78.17%(국내산),감자전분(국내산),발아통밀가루(국내산),현미,구운소금],정제수","돼지고기,밀 함유",알수없음,8809549135325 ,분쇄가공육제품,비살균제품,㈜그린팜푸드 농업회사법인 전주완주군봉동읍은하율소로179-47,㈜그린팜푸드 농업회사법인 전주완주군봉동읍은하율소로179-47,480g,http://fresh.haccp.or.kr/prdimg/2017/201704760012/201704760012-1.jpg,http://fresh.haccp.or.kr/prdimg/2017/201704760012/201704760012-2.jpg
6,201704760011 ,축산물,미소담은 한우장조림,"한우32.2%(국내산),정제수,깐메추리알26.6%(국내산),양조간장[대두(국산),천일염(국산),소맥(밀,국산),과당,주정,영양강화제],꽈리고추(국내산),갈색설탕,가쓰오부시추출액,청주,정제소금,효모추출물","대두,밀,소고기,메추리알 함유",알수없음,8809549138111 ,혼합식육추출가공품,살균제품,㈜그린팜푸드 농업회사법인 전주완주군봉동읍은하율소로179-47,㈜그린팜푸드 농업회사법인 전주완주군봉동읍은하율소로179-47,150g,http://fresh.haccp.or.kr/prdimg/2017/201704760011/201704760011-1.jpg,http://fresh.haccp.or.kr/prdimg/2017/201704760011/201704760011-2.jpg
7,2017046701912 ,식품,꿀 고구마 말랭이,꿀고구마 100%(국내산),알수없음,"60g, 열량185kcal, 탄수화물45g, 당류18g, 단백질2g, 지방0g, 콜레스테롤0mg, 나트륨37mg",알수없음,서류가공품,알수없음,농업회사법인㈜축복의열매_충남 금산군 복수면 용천로 910,_,60g,http://fresh.haccp.or.kr/prdimg/2017/2017046701912/2017046701912-1.jpg,http://fresh.haccp.or.kr/prdimg/2017/2017046701912/2017046701912-2.jpg
8,201704670191 ,식품,반건조 호박고구마 말랭이,호박고구마100%(국내산),알수없음,"영양성분60g, 열량189kcal, 탄수화물45g, 당류18g, 단백질2g, 지방0g, 콜레스테롤0mg, 나트륨37mg",알수없음,서류가공품,알수없음,농업회사법인㈜축복의열매_충남 금산군 복수면 용천로 910,_,60g,http://fresh.haccp.or.kr/prdimg/2017/201704670191/201704670191-1.jpg,http://fresh.haccp.or.kr/prdimg/2017/201704670191/201704670191-2.jpg
9,2017038323133 ,식품,레인보우큐브MIX,"생치즈54.549%미국산(살균우유,살균크림,정제소금,로커스트콩검,구아검등),화인휘프5000(가공유지,유크림,유지방,정제야자경화유, 살균우유등),복분자레진 [백설탕,물엿,복분자주,산머루농축액(국내산),합성착향로(복분자향)등],바나나레진 [폴리글리시톨시럽,물엿,합성착향료(바나나향),바나나시럽,백설탕등],청사과레진 [백설탕,물엿,합성착향료(사과향),사과농축과즙,알긴산나트륨등],메론레진 [백설탕,물엿,합성착향료(메론향),멜론농축과즙액,알긴산나트륨등] ,블루베리시럽 [백설탕,물엿,합성착향료(메론향),멜론농축과즙액,알긴산나트륨등] ,블루베리시럽 [백설탕,물엿,딸기과즙농축액,합성착향료(딸기향),알긴산나트륨등] ,망고시럽[망고퓨레34%(인도산),백설탕,망고농축액(이스라엘산),물엿,L-주석산등],물엿,살균우유,옥수수전분(수입산),젤라틴(돼지)(독일산),치즈향(합성착향료,에틸말톨,프로필렌글리콜), 초코레진다크 [액상과당,카라멜색소,코코아분말(미국산),코코아엑기스(코코아,검정콩고형분),유크림등)","우유,대두,밀,돼지고기",알수없음,알수없음,알수없음,알수없음,㈜단미푸드_강원도 원주시 호저면 매호로 251,㈜단미푸드_강원도 원주시 호저면 매호로 251,1pack당50.4g(5.6g×9ea),http://fresh.haccp.or.kr/prdimg/2017/2017038323133/2017038323133-1.jpg,http://fresh.haccp.or.kr/prdimg/2017/2017038323133/2017038323133-2.jpg
10,2017034706038 ,식품,더 오일 올리진,"카놀라유80%(호주산), 올리브유20%(스페인산)",알수없음,"총 내용량 4,580g 100g당 900kcal
<100g당 1일 영양성분 기준치에 대한 비율>
나트륨0mg 0%, 탄수화물0g 0%, 당류0g 0%, 지방100g 185%, 트랜스지방0g, 포화지방12g 80%, 콜레스테롤0mg 0%, 단백질0g 0%
1일 영양성분 기준치에 대한 비율(%)은 2,000kcal 기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.",알수없음,혼합식용유,알수없음,㈜비앤비코리아_경기도 용인시 처인구 포곡읍 금어로 522,_,"5L(4.58kg,25℃/41,220kcal)",http://fresh.haccp.or.kr/prdimg/2017/2017034706038/2017034706038-1.jpg,http://fresh.haccp.or.kr/prdimg/2017/2017034706038/2017034706038-2.jpg
11,20170275045106 ,식품,한끼초밥불초밥,"그릴스시[돼지고기80.55%(지방일부사용/국산),배퓨레3.36%(국산),설탕,간장{양조간장원액(탈지대두:인도산),대파,숯불갈비맛엑기스],쌀,스시초[설탕,양조식초,정제소금],L-글루탐산나트륨(향미증진제),숯불바베큐소스{불맛소스},초생강,간장,생와사비,소스,혼합식용유,정제수","쇠고기,돼지고기,대두,우유,밀,토마토,조개류(굴)","[총제공량/1회제공량] : 1,[1회제공량 칼로리(Kcal)] : 460,[영양표시] : 나트륨1,318mg,탄수화물69g,당류10g,지방12g,트랜스지방0g,포화지방29g,콜레스테롤44mg,단백질19g",8809581907492210 ,즉석섭취식품,알수없음,"㈜탭스푸드서비스_경기도 성남시 중원구 갈마치로 215,B-401","㈜탭스푸드서비스_경기도 성남시 중원구 갈마치로 215,B-401",알수없음,http://fresh.haccp.or.kr/prdimg/2017/20170275045106/20170275045106-1.jpg,http://fresh.haccp.or.kr/prdimg/2017/20170275045106/20170275045106-1.jpg
12,2017026212211 ,식품,파코니뉴욕치즈,"우유(국내산),당류가공품1(설탕,엑스포젤베이스아메리카,포도당,혼합탈지분유,네우트리네우트로),설탕,당류가공품2[전지분유,말토덱스트린,포도당,탈지분유,건조무지방요구르트{탈지분유,유산균(스트렌토코커스써모필러스,락토바실러스불가리커스)},구연산,천연요구르트향],자연치즈[파마산치즈분말97%,(미국산/부분탈지우유,치즈컬쳐,렌넷,정제소금),셀룰로우스파우더],혼합제제1(구아검,카르복시메틸셀룰로오스나트륨,타라검,포도당,말토덱스트린),당류가공품3[설탕,포도당,푸드젤리(우피유래젤라틴)],혼합제제2[정제수,프로필렌글리콜,혼합제제(코치닐추출색소,적양배추색소),치자황색소],혼합제제3[프로필렌글리콜,정제수,홍화황색소,산도조절제,Shadelemonyellow(홍화황색소,산도조절제,레몬쥬스,설탕),락색소],치자청색소,홍국색소",우유,"[총제공량/1회제공량] : 1,[1회제공량 칼로리(Kcal)] : 111,[영양표시] : 나트륨69mg,탄수화물12g,당류12g,지방6g,트랜스지방0g,포화지방4.7g,콜레스테롤7mg,단백질3g",알수없음,아이스밀크,알수없음,주식회사 아이스팩토리제1공장_경기도 의왕시 진터골길6,주식회사 아이스팩토리제1공장_경기도 의왕시 진터골길6,알수없음,http://fresh.haccp.or.kr/prdimg/2017/2017026212211/2017026212211-1.jpg,http://fresh.haccp.or.kr/prdimg/2017/2017026212211/2017026212211-2.jpg
